Volume(A^3)   Energy(eV/atom)
23.55   -11.0536
24.35   -11.4630
25.16   -11.8114
25.99   -12.1042
26.84   -12.3461
27.70   -12.5418
28.59   -12.6973
29.49   -12.8145
30.41   -12.8948
31.35   -12.9406
32.31   -12.9552
33.29   -12.9418
34.29   -12.9033
35.31   -12.8417
36.34   -12.7584
37.40   -12.6543
38.48   -12.5306
39.58   -12.3885
40.70   -12.2294
41.84   -12.0554
43.00   -11.8686
