Volume(A^3)   Energy(eV/atom)
22.57   -6.6967
23.33   -6.9808
24.11   -7.2649
24.90   -7.5574
25.71   -7.8638
26.54   -8.1852
27.39   -8.4865
28.26   -8.7116
29.14   -8.8349
30.04   -8.8861
30.96   -8.9000
31.90   -8.8868
32.85   -8.8464
33.83   -8.7766
34.82   -8.6749
35.84   -8.5444
36.87   -8.3947
37.93   -8.2303
39.00   -8.0574
40.09   -7.8824
41.21   -7.7116
