Volume(A^3)   Energy(eV/atom)
22.79   -5.3000
23.56   -5.6133
24.34   -5.8841
25.14   -6.1154
25.96   -6.3100
26.80   -6.4700
27.66   -6.5973
28.53   -6.6937
29.42   -6.7601
30.33   -6.7980
31.26   -6.8100
32.21   -6.7989
33.17   -6.7674
34.16   -6.7180
35.16   -6.6529
36.19   -6.5718
37.23   -6.4743
38.29   -6.3604
39.38   -6.2305
40.48   -6.0856
41.61   -5.9270
