Volume(A^3)   Energy(eV/atom)
52.22   -2.0468
53.98   -2.3188
55.77   -2.5439
57.61   -2.7285
59.49   -2.8774
61.41   -2.9947
63.37   -3.0842
65.37   -3.1492
67.41   -3.1921
69.50   -3.2159
71.63   -3.2233
73.80   -3.2167
76.01   -3.1983
78.27   -3.1701
80.57   -3.1333
82.92   -3.0893
85.31   -3.0393
87.75   -2.9840
90.23   -2.9245
92.76   -2.8615
95.33   -2.7958
