Volume(A^3)   Energy(eV/atom)
48.23   -3.2181
49.86   -3.3316
51.52   -3.4287
53.22   -3.5108
54.95   -3.5791
56.72   -3.6341
58.53   -3.6764
60.38   -3.7072
62.27   -3.7278
64.19   -3.7391
66.16   -3.7425
68.16   -3.7393
70.21   -3.7300
72.29   -3.7152
74.42   -3.6955
76.59   -3.6713
78.80   -3.6430
81.05   -3.6106
83.34   -3.5745
85.68   -3.5350
88.06   -3.4924
