Volume(A^3)   Energy(eV/atom)
23.08   -9.3452
23.86   -9.6881
24.65   -9.9803
25.47   -10.2266
26.30   -10.4307
27.14   -10.5963
28.01   -10.7260
28.89   -10.8226
29.80   -10.8890
30.72   -10.9274
31.66   -10.9398
32.62   -10.9280
33.60   -10.8938
34.59   -10.8394
35.61   -10.7668
36.65   -10.6780
37.71   -10.5746
38.78   -10.4580
39.88   -10.3296
41.00   -10.1909
42.14   -10.0431
