Volume(A^3)   Energy(eV/atom)
45.58   -4.3811
47.12   -4.7756
48.69   -5.1041
50.29   -5.3740
51.93   -5.5917
53.61   -5.7635
55.32   -5.8950
57.06   -5.9907
58.85   -6.0548
60.67   -6.0908
62.52   -6.1021
64.42   -6.0917
66.35   -6.0621
68.32   -6.0157
70.33   -5.9547
72.38   -5.8809
74.47   -5.7963
76.59   -5.7024
78.76   -5.6000
80.97   -5.4898
83.22   -5.3732
