Volume(A^3)   Energy(eV/atom)
34.90   -2.9865
36.07   -3.1545
37.28   -3.2954
38.51   -3.4119
39.76   -3.5066
41.04   -3.5818
42.35   -3.6397
43.69   -3.6819
45.06   -3.7103
46.45   -3.7263
47.87   -3.7313
49.32   -3.7267
50.80   -3.7136
52.31   -3.6931
53.85   -3.6662
55.42   -3.6336
57.02   -3.5961
58.64   -3.5541
60.30   -3.5083
62.00   -3.4593
63.72   -3.4075
