Volume(A^3)   Energy(eV/atom)
23.55   -11.0260
24.35   -11.4498
25.16   -11.8068
25.99   -12.1025
26.84   -12.3435
27.70   -12.5365
28.59   -12.6879
29.49   -12.8028
30.41   -12.8836
31.35   -12.9315
32.31   -12.9470
33.29   -12.9322
34.29   -12.8905
35.31   -12.8258
36.34   -12.7417
37.40   -12.6406
38.48   -12.5234
39.58   -12.3903
40.70   -12.2409
41.84   -12.0751
43.00   -11.8929
