Volume(A^3)   Energy(eV/atom)
93.28   -3.0346
96.42   -3.1519
99.64   -3.2506
102.92   -3.3328
106.28   -3.4003
109.71   -3.4546
113.21   -3.4969
116.78   -3.5288
120.43   -3.5510
124.15   -3.5637
127.96   -3.5678
131.83   -3.5640
135.79   -3.5531
139.82   -3.5357
143.93   -3.5126
148.12   -3.4842
152.40   -3.4511
156.75   -3.4137
161.19   -3.3727
165.71   -3.3285
170.31   -3.2815
