Volume(A^3/atom)   Energy(eV/atom)
13.19   -9.0714
13.64   -9.3148
14.09   -9.5219
14.56   -9.6995
15.03   -9.8481
15.51   -9.9688
16.01   -10.0631
16.52   -10.1331
17.03   -10.1808
17.56   -10.2082
18.10   -10.2170
18.64   -10.2087
19.20   -10.1848
19.77   -10.1468
20.36   -10.0959
20.95   -10.0330
21.55   -9.9585
22.17   -9.8720
22.80   -9.7755
23.43   -9.6705
24.09   -9.5573
