Volume(A^3/atom)   Energy(eV/atom)
13.34   -10.4748
13.79   -10.7564
14.25   -10.9987
14.72   -11.2064
15.20   -11.3804
15.69   -11.5216
16.19   -11.6320
16.70   -11.7138
17.22   -11.7695
17.75   -11.8013
18.30   -11.8115
18.85   -11.8020
19.42   -11.7745
19.99   -11.7308
20.58   -11.6718
21.18   -11.5983
21.79   -11.5103
22.41   -11.4087
23.05   -11.2983
23.70   -11.1797
24.35   -11.0529
