Volume(A^3/atom)   Energy(eV/atom)
11.89   -9.6082
12.29   -9.9057
12.70   -10.1595
13.12   -10.3743
13.55   -10.5523
13.98   -10.6961
14.43   -10.8086
14.88   -10.8925
15.35   -10.9498
15.82   -10.9826
16.31   -10.9930
16.80   -10.9833
17.31   -10.9553
17.82   -10.9108
18.35   -10.8512
18.88   -10.7775
19.42   -10.6906
19.98   -10.5910
20.54   -10.4795
21.12   -10.3565
21.71   -10.2232
