Volume(A^3/atom)   Energy(eV/atom)
11.54   -9.3317
11.93   -9.6769
12.33   -9.9719
12.73   -10.2223
13.15   -10.4302
13.57   -10.5972
14.01   -10.7263
14.45   -10.8221
14.90   -10.8873
15.36   -10.9247
15.83   -10.9367
16.31   -10.9254
16.80   -10.8930
17.30   -10.8416
17.81   -10.7731
18.33   -10.6896
18.86   -10.5926
19.39   -10.4834
19.94   -10.3626
20.50   -10.2303
21.07   -10.0866
