Volume(A^3/atom)   Energy(eV/atom)
11.78   -11.0248
12.18   -11.4445
12.59   -11.8053
13.00   -12.1093
13.43   -12.3579
13.86   -12.5531
14.30   -12.7052
14.75   -12.8188
15.21   -12.8967
15.68   -12.9416
16.16   -12.9560
16.65   -12.9424
17.15   -12.9031
17.66   -12.8408
18.18   -12.7579
18.71   -12.6569
19.25   -12.5398
19.80   -12.4084
20.36   -12.2638
20.93   -12.1067
21.51   -11.9378
