Volume(A^3/atom)   Energy(eV/atom)
11.53   -9.3250
11.92   -9.6711
12.32   -9.9669
12.73   -10.2180
13.14   -10.4266
13.57   -10.5944
14.00   -10.7242
14.44   -10.8205
14.89   -10.8863
15.35   -10.9242
15.82   -10.9367
16.30   -10.9259
16.79   -10.8939
17.29   -10.8428
17.80   -10.7747
18.32   -10.6914
18.84   -10.5948
19.38   -10.4859
19.93   -10.3653
20.49   -10.2333
21.06   -10.0899
