Volume(A^3/atom)   Energy(eV/atom)
13.19   -9.0731
13.64   -9.3163
14.09   -9.5232
14.56   -9.7006
15.03   -9.8490
15.52   -9.9696
16.01   -10.0637
16.52   -10.1335
17.04   -10.1811
17.56   -10.2084
18.10   -10.2170
18.65   -10.2086
19.21   -10.1846
19.78   -10.1465
20.36   -10.0955
20.95   -10.0325
21.56   -9.9579
22.17   -9.8713
22.80   -9.7747
23.44   -9.6697
24.09   -9.5564
