Volume(A^3/atom)   Energy(eV/atom)
13.35   -10.4830
13.80   -10.7634
14.26   -11.0048
14.73   -11.2117
15.21   -11.3848
15.70   -11.5252
16.20   -11.6347
16.71   -11.7157
17.24   -11.7707
17.77   -11.8019
18.31   -11.8115
18.87   -11.8014
19.43   -11.7734
20.01   -11.7292
20.60   -11.6697
21.20   -11.5957
21.81   -11.5073
22.44   -11.4053
23.07   -11.2946
23.72   -11.1757
24.38   -11.0486
