Volume(A^3/atom)   Energy(eV/atom)
9.81   -8.0850
10.14   -8.2784
10.48   -8.4426
10.83   -8.5810
11.18   -8.6963
11.54   -8.7906
11.91   -8.8654
12.28   -8.9218
12.67   -8.9611
13.06   -8.9841
13.46   -8.9915
13.87   -8.9842
14.28   -8.9644
14.71   -8.9336
15.14   -8.8926
15.58   -8.8423
16.03   -8.7836
16.49   -8.7174
16.96   -8.6443
17.43   -8.5650
17.91   -8.4796
