Volume(A^3/atom)   Energy(eV/atom)
11.89   -9.6264
12.29   -9.9237
12.70   -10.1774
13.12   -10.3919
13.54   -10.5691
13.98   -10.7109
14.43   -10.8232
14.88   -10.9075
15.35   -10.9655
15.82   -10.9990
16.31   -11.0102
16.80   -11.0012
17.31   -10.9738
17.82   -10.9297
18.34   -10.8703
18.88   -10.7969
19.42   -10.7102
19.98   -10.6110
20.54   -10.4998
21.12   -10.3772
21.71   -10.2440
