Volume(A^3/atom)   Energy(eV/atom)
12.47   -2.0990
12.89   -2.2662
13.32   -2.4077
13.75   -2.5258
14.20   -2.6224
14.66   -2.6992
15.13   -2.7580
15.61   -2.8005
16.09   -2.8286
16.59   -2.8448
17.10   -2.8500
17.62   -2.8452
18.15   -2.8316
18.69   -2.8105
19.24   -2.7827
19.80   -2.7493
20.37   -2.7108
20.95   -2.6679
21.54   -2.6209
22.15   -2.5703
22.76   -2.5165
