Volume(A^3/atom)   Energy(eV/atom)
16.90   -5.4753
17.47   -5.6705
18.05   -5.8356
18.65   -5.9734
19.26   -6.0865
19.88   -6.1769
20.51   -6.2470
21.16   -6.2986
21.82   -6.3336
22.50   -6.3538
23.19   -6.3601
23.89   -6.3539
24.61   -6.3361
25.34   -6.3079
26.08   -6.2702
26.84   -6.2230
27.61   -6.1660
28.40   -6.0992
29.21   -6.0228
30.03   -5.9370
30.86   -5.8423
