Volume(A^3/atom)   Energy(eV/atom)
13.13   -6.7685
13.57   -7.0517
14.02   -7.2936
14.49   -7.4975
14.96   -7.6667
15.44   -7.8041
15.93   -7.9120
16.44   -7.9929
16.95   -8.0483
17.48   -8.0799
18.01   -8.0900
18.56   -8.0806
19.11   -8.0535
19.68   -8.0104
20.26   -7.9530
20.85   -7.8813
21.45   -7.7946
22.06   -7.6927
22.69   -7.5755
23.32   -7.4428
23.97   -7.2949
