Volume(A^3/atom)   Energy(eV/atom)
7.95   -3.7305
8.21   -3.8848
8.49   -4.0157
8.77   -4.1259
9.05   -4.2176
9.34   -4.2923
9.64   -4.3514
9.95   -4.3958
10.26   -4.4265
10.58   -4.4443
10.90   -4.4500
11.23   -4.4447
11.57   -4.4296
11.91   -4.4062
12.26   -4.3762
12.62   -4.3401
12.98   -4.2984
13.35   -4.2518
13.73   -4.2008
14.11   -4.1456
14.51   -4.0866
