Volume(A^3/atom)   Energy(eV/atom)
11.39   -5.3002
11.78   -5.6135
12.17   -5.8842
12.57   -6.1156
12.98   -6.3101
13.40   -6.4701
13.83   -6.5974
14.27   -6.6937
14.71   -6.7602
15.17   -6.7980
15.63   -6.8100
16.10   -6.7989
16.59   -6.7673
17.08   -6.7180
17.58   -6.6529
18.09   -6.5718
18.62   -6.4742
19.15   -6.3603
19.69   -6.2304
20.24   -6.0855
20.80   -5.9268
