Volume(A^3/atom)   Energy(eV/atom)
11.55   -6.9159
11.94   -7.3055
12.34   -7.6399
12.75   -7.9236
13.16   -8.1605
13.59   -8.3539
14.02   -8.5068
14.47   -8.6216
14.92   -8.7006
15.38   -8.7457
15.85   -8.7600
16.33   -8.7467
16.82   -8.7088
17.32   -8.6495
17.83   -8.5705
18.35   -8.4706
18.88   -8.3488
19.42   -8.2046
19.97   -8.0385
20.53   -7.8514
21.10   -7.6450
