Volume(A^3/atom)   Energy(eV/atom)
16.84   -1.1887
17.40   -1.2724
17.99   -1.3418
18.58   -1.3986
19.18   -1.4443
19.80   -1.4802
20.43   -1.5075
21.08   -1.5272
21.74   -1.5402
22.41   -1.5477
23.10   -1.5500
23.80   -1.5478
24.51   -1.5414
25.24   -1.5314
25.98   -1.5182
26.74   -1.5016
27.51   -1.4817
28.29   -1.4588
29.10   -1.4330
29.91   -1.4046
30.74   -1.3738
