Volume(A^3)   Energy(eV/atom)
25.25   -7.1194
26.10   -7.2708
26.97   -7.4015
27.86   -7.5115
28.76   -7.6017
29.69   -7.6739
30.64   -7.7298
31.61   -7.7712
32.60   -7.7996
33.60   -7.8160
34.63   -7.8213
35.68   -7.8162
36.75   -7.8012
37.84   -7.7768
38.96   -7.7434
40.09   -7.7018
41.25   -7.6528
42.43   -7.5972
43.63   -7.5355
44.85   -7.4679
46.10   -7.3944
