Volume(A^3)   Energy(eV/atom)
23.11   -6.9153
23.89   -7.3049
24.68   -7.6394
25.50   -7.9231
26.33   -8.1601
27.18   -8.3536
28.04   -8.5066
28.93   -8.6215
29.83   -8.7005
30.76   -8.7456
31.70   -8.7600
32.66   -8.7467
33.64   -8.7089
34.64   -8.6496
35.66   -8.5706
36.69   -8.4708
37.75   -8.3490
38.83   -8.2049
39.93   -8.0388
41.05   -7.8518
42.19   -7.6454
