Volume(A^3)   Energy(eV/atom)
42.92   -2.6504
44.37   -2.9332
45.84   -3.1718
47.36   -3.3703
48.90   -3.5323
50.48   -3.6609
52.09   -3.7590
53.73   -3.8293
55.41   -3.8752
57.13   -3.9016
58.87   -3.9100
60.66   -3.9023
62.48   -3.8807
64.33   -3.8473
66.23   -3.8039
68.15   -3.7526
70.12   -3.6946
72.12   -3.6311
74.16   -3.5627
76.24   -3.4901
78.36   -3.4138
