Volume(A^3)   Energy(eV/atom)
48.43   -3.0959
50.06   -3.1976
51.73   -3.2868
53.44   -3.3637
55.18   -3.4283
56.96   -3.4806
58.78   -3.5205
60.63   -3.5478
62.53   -3.5654
64.46   -3.5764
66.43   -3.5800
68.45   -3.5766
70.50   -3.5671
72.59   -3.5525
74.73   -3.5341
76.90   -3.5128
79.12   -3.4890
81.38   -3.4630
83.69   -3.4346
86.03   -3.4037
88.42   -3.3701
