Volume(A^3)   Energy(eV/atom)
26.26   -6.7683
27.14   -7.0516
28.05   -7.2935
28.97   -7.4974
29.92   -7.6667
30.88   -7.8040
31.87   -7.9120
32.87   -7.9929
33.90   -8.0483
34.95   -8.0799
36.02   -8.0900
37.11   -8.0806
38.22   -8.0535
39.36   -8.0105
40.52   -7.9531
41.70   -7.8813
42.90   -7.7946
44.13   -7.6928
45.37   -7.5755
46.65   -7.4429
47.94   -7.2950
