Volume(A^3)   Energy(eV/atom)
23.12   -6.6887
23.90   -7.2629
24.69   -7.7194
25.51   -8.0626
26.34   -8.3172
27.19   -8.5081
28.06   -8.6558
28.94   -8.7661
29.85   -8.8419
30.77   -8.8859
31.71   -8.9000
32.67   -8.8865
33.65   -8.8479
34.65   -8.7883
35.67   -8.7103
36.71   -8.6162
37.77   -8.5080
38.85   -8.3880
39.95   -8.2581
41.07   -8.1198
42.21   -7.9737
