Volume(A^3)   Energy(eV/atom)
20.23   -4.6967
20.92   -4.8133
21.61   -4.9160
22.33   -5.0055
23.05   -5.0822
23.80   -5.1467
24.56   -5.1996
25.33   -5.2499
26.12   -5.2841
26.93   -5.3038
27.76   -5.3100
28.60   -5.3041
29.46   -5.2876
30.33   -5.2634
31.22   -5.2288
32.13   -5.1835
33.06   -5.1276
34.00   -5.0614
34.97   -4.9856
35.95   -4.9005
36.94   -4.8066
