Volume(A^3)   Energy(eV/atom)
88.37   -1.4491
91.35   -1.5771
94.39   -1.6848
97.51   -1.7741
100.68   -1.8469
103.93   -1.9048
107.25   -1.9493
110.64   -1.9818
114.09   -2.0035
117.62   -2.0160
121.22   -2.0200
124.90   -2.0164
128.64   -2.0061
132.46   -1.9902
136.36   -1.9695
140.33   -1.9445
144.38   -1.9159
148.50   -1.8841
152.70   -1.8495
156.99   -1.8123
161.35   -1.7731
